PERMNO,date,TICKER,PRC
86868,20060721,GS,142.03999
86868,20060724,GS,146.89999
86868,20060725,GS,148.49001
86868,20060726,GS,147.38000
86868,20060727,GS,148.25999
86868,20060728,GS,151.72000
86868,20060731,GS,152.75000
86868,20060801,GS,151.25999
86868,20060802,GS,149.89999
86868,20060803,GS,152.10001
86868,20060804,GS,152.99001
86868,20060807,GS,152.64999
86868,20060808,GS,151.45000
86868,20060809,GS,150.00999
86868,20060810,GS,151.63000
86868,20060811,GS,151.11000
86868,20060814,GS,150.37000
86868,20060815,GS,152.64999
86868,20060816,GS,154.99001
86868,20060817,GS,154.45000
86868,20060818,GS,154.67999
86868,20060821,GS,153.83000
86868,20060822,GS,154.14999
86868,20060823,GS,152.70000
86868,20060824,GS,151.39999
86868,20060825,GS,150.07001
86868,20060828,GS,149.53000
86868,20060829,GS,147.09000
86868,20060830,GS,147.06000
86868,20060831,GS,148.64999
86868,20060901,GS,149.14000
86868,20060905,GS,151.28000
86868,20060906,GS,150.67000
86868,20060907,GS,148.57001
86868,20060908,GS,149.80000
86868,20060911,GS,151.00000
86868,20060912,GS,158.28999
86868,20060913,GS,160.86000
86868,20060914,GS,162.52000
86868,20060915,GS,162.71001
86868,20060918,GS,163.22000
86868,20060919,GS,163.39000
86868,20060920,GS,166.60001
86868,20060921,GS,167.14999
86868,20060922,GS,167.52000
86868,20060925,GS,168.69000
86868,20060926,GS,168.67999
86868,20060927,GS,169.00000
86868,20060928,GS,170.00000
86868,20060929,GS,169.17000
86868,20061002,GS,170.69000
86868,20061003,GS,174.20000
86868,20061004,GS,176.56000
86868,20061005,GS,175.50000
86868,20061006,GS,175.64999
86868,20061009,GS,177.45000
86868,20061010,GS,178.86000
86868,20061011,GS,178.97000
86868,20061012,GS,181.50999
86868,20061013,GS,183.85001
86868,20061016,GS,185.22000
86868,20061017,GS,183.07001
86868,20061018,GS,182.97000
86868,20061019,GS,180.05000
86868,20061020,GS,180.39999
86868,20061023,GS,184.70000
86868,20061024,GS,187.84000
86868,20061025,GS,188.61000
86868,20061026,GS,193.38000
86868,20061027,GS,188.67000
86868,20061030,GS,189.75000
86868,20061031,GS,189.78999
86868,20061101,GS,185.00000
86868,20061102,GS,187.39000
86868,20061103,GS,187.13000
86868,20061106,GS,190.00000
86868,20061107,GS,188.67999
86868,20061108,GS,188.77000
86868,20061109,GS,184.78000
86868,20061110,GS,187.06000
86868,20061113,GS,187.73000
86868,20061114,GS,190.36000
86868,20061115,GS,193.11000
86868,20061116,GS,196.72000
86868,20061117,GS,195.03999
86868,20061120,GS,197.45000
86868,20061121,GS,199.75999
86868,20061122,GS,202.28999
86868,20061124,GS,201.60001
86868,20061127,GS,193.11000
86868,20061128,GS,197.12000
86868,20061129,GS,196.22000
86868,20061130,GS,194.80000
86868,20061201,GS,194.50000
86868,20061204,GS,200.05000
86868,20061205,GS,201.61000
86868,20061206,GS,205.00000
86868,20061207,GS,200.20000
86868,20061208,GS,205.10001
86868,20061211,GS,202.52000
86868,20061212,GS,200.00000
86868,20061213,GS,198.31000
86868,20061214,GS,200.13000
86868,20061215,GS,199.84000
86868,20061218,GS,203.24001
86868,20061219,GS,201.24001
86868,20061220,GS,201.37000
