PERMNO,date,PRC
12490,20090318,91.95000
12490,20090319,92.66000
12490,20090320,92.51000
12490,20090323,98.71000
12490,20090324,98.30000
12490,20090325,97.95000
12490,20090326,98.78000
12490,20090327,94.15000
12490,20090330,94.52000
12490,20090331,96.89000
12490,20090401,97.61000
12490,20090402,100.82000
12490,20090403,102.22000
12490,20090406,101.56000
12490,20090407,98.75000
12490,20090408,101.19000
12490,20090409,101.70000
12490,20090413,99.95000
12490,20090414,99.27000
12490,20090415,98.85000
12490,20090416,101.43000
12490,20090417,101.27000
12490,20090420,100.43000
12490,20090421,102.31000
12490,20090422,102.55000
12490,20090423,101.42000
12490,20090424,100.08000
12490,20090427,99.95000
12490,20090428,101.94000
12490,20090429,104.04000
12490,20090430,103.21000
12490,20090501,104.61000
12490,20090504,106.19000
12490,20090505,105.85000
12490,20090506,104.62000
12490,20090507,102.59000
12490,20090508,101.49000
12490,20090511,102.90000
12490,20090512,103.94000
12490,20090513,102.26000
12490,20090514,101.05000
12490,20090515,101.37000
12490,20090518,104.58000
12490,20090519,105.51000
12490,20090520,104.05000
12490,20090521,102.82000
12490,20090522,101.89000
12490,20090526,105.02000
12490,20090527,102.93000
12490,20090528,104.69000
12490,20090529,106.28000
12490,20090601,108.37000
12490,20090602,106.83000
12490,20090603,106.49000
12490,20090604,106.33000
12490,20090605,107.24000
12490,20090608,107.49000
12490,20090609,108.14000
12490,20090610,108.35000
12490,20090611,109.40000
12490,20090612,108.21000
12490,20090615,107.62000
12490,20090616,107.32000
12490,20090617,107.00000
12490,20090618,106.33000
12490,20090619,105.89000
12490,20090622,104.52000
12490,20090623,104.44000
12490,20090624,104.15000
12490,20090625,106.06000
12490,20090626,105.68000
12490,20090629,105.83000
12490,20090630,104.42000
12490,20090701,104.84000
12490,20090702,101.73000
12490,20090706,101.65000
12490,20090707,100.19000
12490,20090708,100.68000
12490,20090709,102.08000
12490,20090710,100.83000
12490,20090713,103.62000
12490,20090714,103.25000
12490,20090715,107.22000
12490,20090716,110.64000
12490,20090717,115.42000
12490,20090720,116.44000
12490,20090721,117.04000
12490,20090722,115.57000
12490,20090723,117.06000
12490,20090724,117.64000
12490,20090727,117.63000
12490,20090728,117.28000
12490,20090729,117.26000
12490,20090730,117.86000
12490,20090731,117.93000
12490,20090803,119.92000
12490,20090804,119.60000
12490,20090805,118.47000
12490,20090806,117.38000
12490,20090807,119.33000
12490,20090810,118.70000
12490,20090811,117.79000
12490,20090812,119.29000
12490,20090813,119.58000
12490,20090814,118.57000
12490,20090817,116.86000
12490,20090818,117.63000
12490,20090819,118.57000
12490,20090820,118.95000
12490,20090821,119.90000
12490,20090824,119.32000
12490,20090825,118.83000
12490,20090826,119.47000
12490,20090827,119.43000
12490,20090828,118.22000
12490,20090831,118.05000
12490,20090901,116.69000
12490,20090902,116.09000
12490,20090903,116.33000
12490,20090904,117.46000
12490,20090908,117.16000
12490,20090909,116.76000
12490,20090910,117.67000
12490,20090911,118.05000
12490,20090914,118.88000
12490,20090915,119.35000
12490,20090916,121.82000
12490,20090917,121.88000
12490,20090918,122.11000
12490,20090921,121.57000
12490,20090922,121.61000
12490,20090923,120.82000
12490,20090924,120.94000
12490,20090925,121.08000
12490,20090928,119.33000
12490,20090929,118.81000
12490,20090930,119.61000
12490,20091001,117.90000
12490,20091002,119.02000
12490,20091005,119.75000
12490,20091006,121.35000
12490,20091007,122.78000
12490,20091008,122.29000
12490,20091009,125.93000
12490,20091012,127.04000
12490,20091013,127.02000
12490,20091014,128.35001
12490,20091015,127.98000
12490,20091016,121.64000
12490,20091019,123.06000
12490,20091020,122.82000
12490,20091021,120.87000
12490,20091022,122.69000
12490,20091023,120.36000
12490,20091026,120.11000
12490,20091027,120.65000
12490,20091028,121.50000
12490,20091029,122.87000
12490,20091030,120.61000
12490,20091102,120.56000
12490,20091103,121.16000
12490,20091104,121.29000
12490,20091105,123.10000
12490,20091106,123.49000
12490,20091109,126.00000
12490,20091110,126.91000
12490,20091111,127.19000
12490,20091112,126.26000
12490,20091113,127.03000
12490,20091116,128.21001
12490,20091117,128.63000
12490,20091118,128.14999
12490,20091119,127.54000
12490,20091120,126.96000
12490,20091123,128.20000
12490,20091124,127.93000
12490,20091125,127.28000
12490,20091127,125.70000
12490,20091130,126.35000
12490,20091201,127.94000
12490,20091202,127.21000
12490,20091203,127.55000
12490,20091204,127.25000
12490,20091207,127.04000
12490,20091208,126.80000
12490,20091209,128.39000
12490,20091210,129.34000
12490,20091211,129.67999
12490,20091214,129.92999
12490,20091215,128.49001
12490,20091216,128.71001
12490,20091217,127.40000
12490,20091218,127.91000
12490,20091221,128.64999
12490,20091222,129.92999
12490,20091223,130.00000
12490,20091224,130.57001
12490,20091228,132.31000
12490,20091229,131.85001
12490,20091230,132.57001
12490,20091231,130.89999
12490,20100104,132.45000
12490,20100105,130.85001
12490,20100106,130.00000
12490,20100107,129.55000
12490,20100108,130.85001
12490,20100111,129.48000
12490,20100112,130.50999
12490,20100113,130.23000
12490,20100114,132.31000
12490,20100115,131.78000
12490,20100119,134.14000
12490,20100120,130.25000
12490,20100121,129.00000
12490,20100122,125.50000
12490,20100125,126.12000
12490,20100126,125.75000
12490,20100127,126.33000
12490,20100128,123.75000
12490,20100129,122.39000
12490,20100201,124.67000
12490,20100202,125.53000
12490,20100203,125.66000
12490,20100204,123.00000
12490,20100205,123.52000
12490,20100208,121.88000
12490,20100209,123.21000
12490,20100210,122.81000
12490,20100211,123.73000
12490,20100212,124.00000
12490,20100216,125.23000
12490,20100217,126.33000
12490,20100218,127.81000
12490,20100219,127.19000
12490,20100222,126.85000
12490,20100223,126.46000
12490,20100224,127.59000
12490,20100225,127.07000
12490,20100226,127.16000
12490,20100301,128.57001
12490,20100302,127.42000
12490,20100303,126.88000
12490,20100304,126.72000
12490,20100305,127.25000
12490,20100308,126.41000
12490,20100309,125.55000
12490,20100310,125.62000
12490,20100311,127.60000
12490,20100312,127.94000
12490,20100315,127.83000
12490,20100316,128.67000
12490,20100317,127.76000
12490,20100318,128.38000
12490,20100319,127.71000
12490,20100322,127.98000
12490,20100323,129.37000
12490,20100324,128.53000
12490,20100325,129.24001
12490,20100326,129.25999
12490,20100329,128.59000
12490,20100330,128.77000
12490,20100331,128.25000
12490,20100401,128.25000
12490,20100405,129.35001
12490,20100406,128.92999
12490,20100407,128.48000
12490,20100408,127.61000
12490,20100409,128.75999
12490,20100412,128.36000
12490,20100413,129.03000
12490,20100414,131.25000
12490,20100415,130.89000
12490,20100416,130.63000
12490,20100419,132.23000
12490,20100420,129.69000
12490,20100421,128.99001
12490,20100422,129.13000
12490,20100423,129.99001
12490,20100426,130.73000
12490,20100427,128.82001
12490,20100428,130.10001
12490,20100429,130.46001
12490,20100430,129.00000
12490,20100503,129.60001
12490,20100504,128.12000
12490,20100505,127.46000
12490,20100506,123.92000
12490,20100507,122.10000
12490,20100510,126.27000
12490,20100511,126.89000
12490,20100512,132.67999
12490,20100513,131.48000
12490,20100514,131.19000
12490,20100517,130.44000
12490,20100518,129.95000
12490,20100519,128.86000
12490,20100520,123.80000
12490,20100521,125.42000
12490,20100524,124.45000
12490,20100525,124.52000
12490,20100526,123.23000
12490,20100527,126.39000
12490,20100528,125.26000
12490,20100601,124.34000
12490,20100602,127.41000
12490,20100603,127.96000
12490,20100604,125.28000
12490,20100607,124.13000
12490,20100608,123.72000
12490,20100609,123.90000
12490,20100610,127.68000
12490,20100611,128.45000
12490,20100614,128.50000
12490,20100615,129.78999
12490,20100616,130.35001
12490,20100617,130.98000
12490,20100618,130.14999
12490,20100621,130.64999
12490,20100622,129.30000
12490,20100623,130.11000
12490,20100624,128.19000
12490,20100625,127.12000
12490,20100628,128.98000
12490,20100629,125.09000
12490,20100630,123.48000
12490,20100701,122.57000
12490,20100702,121.86000
12490,20100706,123.46000
12490,20100707,127.00000
12490,20100708,127.97000
12490,20100709,127.96000
12490,20100712,128.67000
12490,20100713,130.48000
12490,20100714,130.72000
12490,20100715,130.72000
12490,20100716,128.03000
12490,20100719,129.78999
12490,20100720,126.55000
12490,20100721,125.27000
12490,20100722,127.47000
12490,20100723,128.38000
12490,20100726,128.41000
12490,20100727,128.63000
12490,20100728,128.42999
12490,20100729,128.02000
12490,20100730,128.39999
12490,20100802,130.75999
12490,20100803,130.37000
12490,20100804,131.27000
12490,20100805,131.83000
12490,20100806,130.14000
12490,20100809,132.00000
12490,20100810,131.84000
12490,20100811,129.83000
12490,20100812,128.30000
12490,20100813,127.87000
12490,20100816,127.77000
12490,20100817,128.45000
12490,20100818,129.39250
12490,20100819,128.89999
12490,20100820,127.50000
12490,20100823,126.47000
12490,20100824,124.90000
12490,20100825,125.27000
12490,20100826,122.78000
12490,20100827,124.73000
12490,20100830,123.40000
12490,20100831,123.13000
12490,20100901,125.77000
12490,20100902,125.04000
12490,20100903,127.58000
12490,20100907,125.95000
12490,20100908,126.08000
12490,20100909,126.36000
12490,20100910,127.99000
12490,20100913,129.61000
12490,20100914,128.85001
12490,20100915,129.42999
12490,20100916,129.67000
12490,20100917,130.19000
12490,20100920,131.78999
12490,20100921,131.98000
12490,20100922,132.57001
12490,20100923,131.67000
12490,20100924,134.11000
12490,20100927,134.64999
12490,20100928,134.89000
12490,20100929,135.48000
12490,20100930,134.14000
12490,20101001,135.64000
12490,20101004,135.25000
12490,20101005,137.66000
12490,20101006,137.84000
12490,20101007,138.72000
12490,20101008,138.85001
12490,20101011,139.66000
12490,20101012,139.85001
12490,20101013,140.37000
12490,20101014,141.50000
12490,20101015,141.06000
12490,20101018,142.83000
12490,20101019,138.03000
12490,20101020,139.07001
12490,20101021,139.83000
12490,20101022,139.67000
12490,20101025,139.84000
12490,20101026,140.67000
12490,20101027,141.42999
12490,20101028,140.89999
12490,20101029,143.60001
12490,20101101,143.32001
12490,20101102,143.84000
12490,20101103,144.17000
12490,20101104,146.78999
12490,20101105,146.92000
12490,20101108,146.46001
12490,20101109,146.14000
12490,20101110,146.55000
12490,20101111,145.42999
12490,20101112,143.74001
12490,20101115,143.64000
12490,20101116,142.24001
12490,20101117,141.95000
12490,20101118,144.36000
12490,20101119,145.05000
12490,20101122,145.39000
12490,20101123,143.17999
12490,20101124,145.81000
12490,20101126,144.11000
12490,20101129,142.89000
12490,20101130,141.46001
12490,20101201,144.41000
12490,20101202,145.17999
12490,20101203,145.38000
12490,20101206,144.99001
12490,20101207,144.02000
12490,20101208,144.98000
12490,20101209,144.30000
12490,20101210,144.82001
12490,20101213,144.28000
12490,20101214,145.82001
12490,20101215,144.72000
12490,20101216,144.55000
12490,20101217,145.00000
12490,20101220,144.50999
12490,20101221,145.74001
12490,20101222,145.95000
12490,20101223,145.89000
12490,20101227,145.34000
12490,20101228,145.71001
12490,20101229,146.52000
12490,20101230,146.67000
12490,20101231,146.75999
12490,20110103,147.48000
12490,20110104,147.64000
12490,20110105,147.05000
12490,20110106,148.66000
12490,20110107,147.92999
12490,20110110,147.64000
12490,20110111,147.28000
12490,20110112,149.10001
12490,20110113,148.82001
12490,20110114,150.00000
12490,20110118,150.64999
12490,20110119,155.69000
12490,20110120,155.80000
12490,20110121,155.50000
12490,20110124,159.63000
12490,20110125,161.44000
12490,20110126,161.03999
12490,20110127,161.07001
12490,20110128,159.21001
12490,20110131,162.00000
12490,20110201,163.56000
12490,20110202,163.30000
12490,20110203,163.53000
12490,20110204,164.00000
12490,20110207,164.82001
12490,20110208,166.05000
12490,20110209,164.64999
12490,20110210,164.09000
12490,20110211,163.85001
12490,20110214,163.22000
12490,20110215,162.84000
12490,20110216,163.39999
12490,20110217,164.24001
12490,20110218,164.84000
12490,20110222,161.95000
12490,20110223,160.17999
12490,20110224,160.77000
12490,20110225,162.28000
12490,20110228,161.88000
12490,20110301,159.97000
12490,20110302,160.16000
12490,20110303,163.48000
12490,20110304,161.83000
12490,20110307,159.92999
12490,20110308,162.28000
12490,20110309,165.86000
12490,20110310,162.02000
12490,20110311,162.42999
12490,20110314,161.39000
12490,20110315,159.02000
12490,20110316,153.00000
12490,20110317,154.17999
12490,20110318,155.89000
12490,20110321,157.67999
12490,20110322,158.00000
12490,20110323,159.53000
12490,20110324,160.03999
12490,20110325,162.17999
12490,20110328,161.37000
12490,20110329,162.88000
